,Referencia,Descripcion,Familia Padre,Familia,Subfamilia,Stock Fisico,Stock Operativo,Stock Comercial,Mar,Puerto,Despachado
1,7737,Colchón Flow Original 135x190,Descanso,Descanso,Descanso,42,41,41,0,0,0
3,7072,Bicicleta esta´tica plegable DrumFit X-Cycle 2500 E-Motion,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,1453,1448,1448,0,0,0
4,2628,TV QLED V2 series VQU20043,Gama Marrón,Televisores,Televisores QLED,1325,1284,1284,0,0,630
5,8182,Aire acondicionado split AirClima 12000 Smartfresh,Cuidado del aire,Ventilación,Aires acondicionados split,283,282,282,0,0,0
6,7586,Cecotec Colchón Viscoelástico ViscoSense Flow PureVital 3900 Medida 135x190. Multicapa,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,1,-2,-2,0,0,167
8,2437,Frigorífico Bolero CoolMarket SBS 430 White E,GAE,Frigoríficos,Frigoríficos americanos,15,6,6,0,0,0
10,3116,Olla Polka Experience 28 Pot Titan,Menaje,Sartenes y Ollas,Ollas y cazos,192,190,190,0,0,0
18,7553,Cecotec Colchón Viscoelástico ViscoSense Flow PureVital 5900 Medida 150x200. Multicapa,Descanso,Descanso,Descanso,24,24,24,0,0,55
20,1555,Cafetera de goteo programable Route Coffee 66 Smart,PAE Cocina,Cafeteras,Cafeteras de goteo,200,-50,150,0,0,0
21,2344,Vinoteca GrandSommelier 20000 Inox Compressor,GAE,Vinotecas,Vinotecas,16,9,9,0,0,165
22,7166,Bicicleta extreme 25 KG X,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,58,58,58,0,0,0
24,5613,Humidificador BreezeCare 4000 Connected,Cuidado del aire,Tratamiento del aire,Humidificadores,165,165,165,0,0,0
25,2623,TV LED A3 series ALH30043,Gama Marrón,Televisores,Televisores LED,1695,1692,1692,0,0,0
27,3163,Olla Polka Platinum 24 Pot Thunder,Menaje,Sartenes y Ollas,Ollas y cazos,591,589,589,0,0,0
29,3164,Olla Polka Platinum 28 Pot Thunder,Menaje,Sartenes y Ollas,Ollas y cazos,620,620,620,0,0,0
30,3201,Sandwichera  Rock n Toast Family Grill,PAE Cocina,Sandwicheras,Sandwicheras,56,31,31,0,0,0
31,4215,Cepillo alisador Bamba InstantCare 900 Perfect Brush,Cuidado personal,Cepillos,Cepillos alisadores,2641,2632,2632,0,0,0
37,5568,Aspirador de colchones Conga PopStar 7000 Mattress,Aspiración y Limpieza,Aspiradores de mano,Aspiradores de colchones,3,3,3,0,0,0
38,5549,Aspirador vertical Conga PopStar 4070 H2O MAX,Aspiración y Limpieza,Aspiradores verticales,Aspiradores verticales cable,888,883,883,0,0,0
39,4284,Palomitero Fun&Taste P´Corn Classic,PAE Cocina,Fun Cooking,Palomiteros,818,797,797,0,0,0
40,7721,Colchón Flow 7900 Hybrid 150x200,Descanso,Descanso,Descanso,59,55,55,0,0,82
41,8181,Aire acondicionado split AirClima 9000 Smartfresh,Cuidado del aire,Ventilación,Aires acondicionados split,312,312,312,0,0,0
42,8426,Aspirador vertical Conga Rockstar 2500 DeepCleanPro Jalisco,Aspiración y Limpieza,Aspiradores verticales,Aspiradores verticales BLDC,2208,2204,2204,0,0,0
43,5303,Termoventilador horizontal Ready Warm 9650 Horizon Force,Cuidado del aire,Calefacción,Termoventiladores,331,313,313,0,0,0
44,5646,Difusor de aroma PureAroma 550 Connected Stone,Cuidado del aire,Tratamiento del aire,Humidificadores,4363,4362,4362,0,0,0
45,1710,Microondas 20l con grill ProClean 3110 Retro Red,PAE Cocina,Microondas,Microondas con grill,1213,1189,1189,0,0,0
50,5731,Robot aspirador Conga 1990 Connected T,Aspiración y Limpieza,Robots,Robots aspiradores,1369,1354,1354,0,0,0
51,5357,Toallero eléctrico Ready Warm 9880 Crystal Towel,Cuidado del aire,Calefacción,Toalleros eléctricos,346,345,345,0,0,0
58,2597,TV A2Z series ALU20043ZS,Gama Marrón,Televisores,Televisores LED,9,9,9,0,0,0
59,2599,TV A2Z series ALU20050ZS,Gama Marrón,Televisores,Televisores LED,56,56,56,0,0,0
64,2430,Frigorífico Bolero CoolMarket 322 Dark E,GAE,Frigoríficos,Frigoríficos combi,78,77,77,0,0,0
65,2030,Olla de cocción lenta ChupChup,PAE Cocina,Ollas,Ollas de cocción lenta,1560,1560,1560,0,0,0
66,8044,Heladera Gelacy 1200 Touch,PAE Cocina,Heladeras,Heladeras,957,957,957,0,0,0
67,8184,Aire acondicionado split AirClima 24000 Smartfresh,Cuidado del aire,Ventilación,Aires acondicionados split,161,161,161,0,0,0
68,5938,Ventilador de techo EnergySilence Aero 350,Cuidado del aire,Ventilación,Ventiladores de techo,1558,1546,1546,0,0,0
69,5264,Aire acondicionado portátil ForceClima 12250 Smartheating,Cuidado del aire,Ventilación,Aires acondicionados portátiles,1,-6,-6,0,0,0
70,2604,TV V1 series VQU10043S,Gama Marrón,Televisores,Televisores QLED,12,12,12,0,0,0
71,6724,Flow 1500 HealthConfort 135x190,Descanso,Descanso,Descanso,3,3,3,0,0,3
73,3182,Barbacoa Eléctrica PerfectRoast 3000 Inox,PAE Cocina,Barbacoas,Barbacoas eléctricas,2493,2391,2391,0,0,0
